run_name,test_file,arc_num_params,arc_num_conv,arc_pool_mode,arc_up_mode,arc_addition,arc_skip,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
unet-4-8-8-8-8-pool-avg-up-transpose-skip1-add-cat,test_0.csv,4512,2,avg,transpose,cat,1,0.0004937566716202097,9.366165071770986e-05,9.204145756265116e-05,1.0,0.9999763177216165,1.0,0.9999763070279536,1.0,1.0,0.9878691983122363,1.0,1.0
unet-4-8-8-8-8-pool-avg-up-upsample-skip1-add-cat,test_0.csv,3860,2,avg,upsample,cat,1,0.0008563659925099495,0.0004320015083364097,0.0003568271462552667,0.9998107826024353,0.9999979389488746,0.999932650862069,0.9999979397415611,0.9998106664540817,0.999932650862069,0.9989451476793249,0.9744897959183674,0.9827586206896551
unet-4-8-8-8-8-pool-max-up-transpose-skip1-add-cat,test_0.csv,4512,2,max,transpose,cat,1,0.0006067017565317057,0.0001699493026980959,0.00016866635607960955,0.9998406620094991,0.9997817782462544,0.9998401673049769,0.9997816126054853,0.9998405612244898,0.9998400457974138,0.8997890295358649,0.9183673469387755,0.9181034482758621
unet-4-8-8-8-8-pool-max-up-upsample-skip1-add-cat,test_0.csv,3860,2,max,upsample,cat,1,0.0010136634303956344,0.00035689648998692174,0.00019734786737585794,0.9998803427038215,0.9998948711493433,0.9999241965126974,0.9998949268196202,0.9998804209183674,0.9999242322198276,0.9462025316455697,0.9387755102040817,0.9612068965517241
unet-4-8-8-8-8-nc-1-pool-avg-up-transpose-skip1-add-cat,test_0.csv,2880,1,avg,transpose,cat,1,0.0009132546935999719,0.0005792213892813639,0.0005634641302408297,0.9992724540283746,0.9998310637400304,0.999309517634631,0.9998310588080169,0.9992725605867347,0.9993096713362069,0.9330168776371308,0.7397959183673469,0.7844827586206896
unet-4-8-8-8-8-nc-1-pool-avg-up-upsample-skip1-add-cat,test_0.csv,2228,1,avg,upsample,cat,1,0.0006273073900219854,8.853705686324618e-05,0.00012477080844260416,1.0,0.9999958775993032,1.0,0.9999958794831224,1.0,1.0,0.9978902953586498,1.0,1.0
unet-4-8-8-8-8-nc-1-pool-max-up-transpose-skip1-add-cat,test_0.csv,2880,1,max,transpose,cat,1,0.0007552684608081607,0.00020432918705521342,8.305842907404816e-05,1.0,0.9999989703574905,1.0,0.9999989698707806,1.0,1.0,0.9994725738396625,1.0,1.0
unet-4-8-8-8-8-nc-1-pool-max-up-upsample-skip1-add-cat,test_0.csv,2228,1,max,upsample,cat,1,0.0006811328227898226,8.251791512854968e-05,7.795062284175998e-05,1.0,0.9999958775993032,1.0,0.9999958794831224,1.0,1.0,0.9978902953586498,1.0,1.0
unet-4-8-8-8-8-nc-1-pool-avg-up-transpose-skip1-add-sum,test_0.csv,2256,1,avg,transpose,sum,1,0.009278504989396797,0.012772522629143633,0.009807194920320964,1.0,0.9999979390090983,1.0,0.9999979397415611,1.0,1.0,0.9989451476793249,1.0,1.0
unet-4-8-8-8-8-nc-1-pool-avg-up-transpose-skip0,test_0.csv,2256,1,avg,transpose,sum,0,0.1291931285228156,0.13019993201810487,0.13439387571195077,0.783545819120887,0.7968414049069318,0.785708272733955,0.8298865209651899,0.8244379783163265,0.8242271686422413,0.0,0.0,0.0
unet-4-8-8-8-8-nc-1-pool-avg-up-upsample-skip1-add-sum,test_0.csv,1808,1,avg,upsample,sum,1,0.0012836464038973414,0.0003516191451237727,0.00031477734842939815,0.9996609794869162,0.9995051529815838,0.9997641075760335,0.9995055379746836,0.9996611926020408,0.9997642780172413,0.7473628691983122,0.826530612244898,0.8793103448275862
unet-4-8-8-8-8-nc-1-pool-avg-up-upsample-skip0,test_0.csv,1604,1,avg,upsample,sum,0,0.13798669316974874,0.13270143252246233,0.13903178724235501,0.7628976924351542,0.7568439244723586,0.7469454057241522,0.8081363726265823,0.8162169164540817,0.8059418776939655,0.0,0.0,0.0
unet-4-8-8-8-8-nc-1-pool-max-up-transpose-skip1-add-sum,test_0.csv,2256,1,max,transpose,sum,1,0.009257607126632069,0.012898891413470313,0.009778589560200685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unet-4-8-8-8-8-nc-1-pool-max-up-transpose-skip0,test_0.csv,2256,1,max,transpose,sum,0,0.1314584166597465,0.13252280804575706,0.13850007064897438,0.7762577787658784,0.7908600044872686,0.7664775672866663,0.8256578405195147,0.8203224649234694,0.8138722386853449,0.0,0.0,0.0
unet-4-8-8-8-8-nc-1-pool-max-up-upsample-skip1-add-sum,test_0.csv,1808,1,max,upsample,sum,1,0.0016565620553515702,0.0006121013412128526,0.00040548162385299483,0.9996609794869162,0.9995144445528066,0.9997641075760335,0.9995148091376582,0.9996611926020408,0.9997642780172413,0.7531645569620253,0.826530612244898,0.8793103448275862
unet-4-8-8-8-8-nc-1-pool-max-up-upsample-skip0,test_0.csv,1604,1,max,upsample,sum,0,0.1384273453100824,0.13393697218627346,0.14072030371633068,0.7622237253411275,0.7554941880398351,0.7464644581710547,0.8064253279931435,0.8132274394132653,0.8008317618534483,0.0,0.0,0.0
unet-4-8-8-8-8-pool-avg-up-transpose-skip1-add-sum,test_0.csv,3888,2,avg,transpose,sum,1,0.0010544194464492198,0.00027946710980934455,6.190301459794463e-05,1.0,0.9999979389296991,1.0,0.9999979397415611,1.0,1.0,0.9989451476793249,1.0,1.0
unet-4-8-8-8-8-pool-avg-up-transpose-skip0,test_0.csv,3888,2,avg,transpose,sum,0,0.13467554683612368,0.1341756367865874,0.13836033051383906,0.758188631385441,0.7726978373910162,0.7593265159595591,0.818966121110232,0.8173130580357143,0.8136365167025862,0.0,0.0,0.0
unet-4-8-8-8-8-pool-avg-up-upsample-skip1-add-sum,test_0.csv,3440,2,avg,upsample,sum,1,0.0007526962652087521,0.00012245946508839404,0.00013072371094212626,0.9998504295588844,0.9998093049670839,0.9998399234698665,0.9998094260944093,0.9998505261479592,0.9998400457974138,0.9029535864978903,0.923469387755102,0.9181034482758621
unet-4-8-8-8-8-pool-avg-up-upsample-skip0,test_0.csv,3236,2,avg,upsample,sum,0,0.13685754171026407,0.1333845061611156,0.13943977808130198,0.7653572593297506,0.7648488816933805,0.7604910375403159,0.811573913831751,0.8157784598214286,0.8092756600215517,0.0,0.0,0.0
unet-4-8-8-8-8-pool-max-up-transpose-skip1-add-sum,test_0.csv,3888,2,max,transpose,sum,1,0.0007831266622570145,7.803188901209292e-05,5.849115191738057e-05,1.0,0.9999958794831224,1.0,0.9999958794831224,1.0,1.0,0.9989451476793249,1.0,1.0
unet-4-8-8-8-8-pool-max-up-transpose-skip0,test_0.csv,3888,2,max,transpose,sum,0,0.1335617660658772,0.13544099169726276,0.14091065037867118,0.7588080217885793,0.7744429513095491,0.7535659127026563,0.820040545886076,0.8153300382653061,0.8076508620689655,0.0,0.0,0.0
unet-4-8-8-8-8-pool-max-up-upsample-skip1-add-sum,test_0.csv,3440,2,max,upsample,sum,1,0.000753281368585554,0.0001411879514177729,0.00014480177613787135,0.9998404599436522,0.9997917827914121,0.9998399234698665,0.9997919138976793,0.9998405612244898,0.9998400457974138,0.8939873417721519,0.9183673469387755,0.9181034482758621
unet-4-8-8-8-8-pool-max-up-upsample-skip0,test_0.csv,3236,2,max,upsample,sum,0,0.14039308277552137,0.13511555550657972,0.14213525208419767,0.7399493687229663,0.7336214421865757,0.723746513568087,0.8028136949498945,0.8131875797193877,0.8024733970905172,0.0,0.0,0.0
